#Drug	Gene	label
DB02310	P50579	1
DB05022	Q13838	0
DB01877	P27144	0
DB00139	O75936	1
DB00526	P04731	1
DB07656	P15085	0
DB04233	P53779	0
DB04318	P24347	1
DB03169	P04035	1
DB02350	P08254	1
DB07227	P49356	1
DB01488	P12236	0
DB01101	Q12882	1
DB03615	P00403	0
DB00497	P20815	1
DB00532	Q460N3	0
DB02292	P00918	1
DB00814	P35354	1
DB00248	P08908	1
DB04152	P05230	0
DB07535	P03951	0
DB03003	Q96KG9	0
DB00454	P10635	1
DB00582	P23219	1
DB08893	P08684	1
DB07950	P12318	0
DB01800	P15289	1
DB01597	P06576	0
DB02497	P34897	0
DB01800	P00918	0
DB08403	P03956	1
DB07154	O94808	0
DB08024	P07098	0
DB06419	P02818	0
DB00477	P14416	1
DB08277	P08235	0
DB05471	P07098	0
DB03048	Q9NY65	0
DB04495	P12931	1
DB02405	P49763	0
DB00737	O95865	0
DB00373	P35914	0
DB05461	Q9H6Z9	0
DB02594	P09429	0
DB04250	P63096	0
DB06700	P23975	1
DB08125	P61313	0
DB00876	Q9BY66	0
DB04013	P23975	0
DB04739	P34741	0
DB00313	P35499	1
DB04934	Q9NTG7	0
DB02762	Q9Y6K9	0
DB04263	P04035	0
DB04847	Q96KS0	1
DB05289	P61024	0
DB08198	P52732	1
DB04838	Q15842	0
DB00726	P28223	1
DB08683	O14757	1
DB01007	P05181	1
DB00247	P08908	1
DB09330	P08684	1
DB03752	Q02641	0
DB00768	P80511	1
DB02287	Q9HB55	0
DB00459	P48443	1
DB03370	Q15303	0
DB04418	Q8N142	1
DB00082	P10912	1
DB01549	P14416	1
DB00462	Q9BZV2	0
DB00245	P06132	0
DB01890	P48167	0
DB04013	P13995	0
DB04644	P11217	1
DB00910	P28335	0
DB04315	P13639	1
DB00780	P33261	1
DB00241	P31644	1
DB00880	P22748	1
DB08927	P03886	0
DB01100	P33261	1
DB00122	P32754	0
DB08030	P10721	0
DB03509	Q86VB7	0
DB05785	P05412	1
DB00547	P36507	0
DB07016	P00734	1
DB07111	P30038	0
DB01191	Q05329	0
DB07764	P53597	0
DB08220	Q15788	1
DB08303	P14780	0
DB01393	Q03181	1
DB06412	P21397	1
DB01275	Q9H2G2	0
DB02447	P22309	0
DB07788	P28482	1
DB03292	O76054	0
DB03772	P16442	1
DB00669	P28222	1
DB02719	O43677	0
DB01094	O60896	0
DB00005	P02745	1
DB04256	Q13255	1
DB07654	O14757	1
DB00933	P10635	1
DB00555	Q99250	1
DB01085	P05181	1
DB08021	P41594	0
DB09102	P37058	0
DB07251	P04745	0
DB04315	P60953	1
DB04614	P19801	0
DB04763	O95881	0
DB01791	P10635	0
DB06663	Q9H4M7	0
DB00920	P52209	1
DB04008	P05362	0
DB00129	Q9UMX2	1
DB00051	O43739	0
DB06061	P47985	0
DB03866	P35462	0
DB01086	P31639	0
DB05216	P16234	1
DB04003	P31513	0
DB01381	P14867	1
DB00157	P48728	1
DB08180	P25024	0
DB07901	P15086	0
DB04324	P22309	0
DB00207	P08684	1
DB01632	P07741	1
DB05419	Q9NYX4	1
DB00792	P00352	0
DB01915	P01024	1
DB05184	Q9Y678	0
DB07316	P11274	0
DB00993	P10646	0
DB00202	Q16790	0
DB00182	O14793	0
DB08729	O76074	1
DB04119	Q9UQM7	1
DB07255	P04818	0
DB06832	Q6IA69	0
DB02528	Q12879	0
DB02952	P11802	0
DB05801	P20648	0
DB01068	O00591	1
DB07313	P05186	0
DB08744	Q99720	0
DB00363	P05177	1
DB00208	P10635	1
DB04960	P49356	1
DB08895	P52333	1
DB00818	P19224	1
DB06589	P10632	1
DB00311	P00915	1
DB01594	P07864	0
DB00898	P33261	1
DB07800	O60664	0
DB04295	Q96GW9	0
DB07400	P29460	0
DB08368	P08048	0
DB04233	P08100	1
DB02721	P07327	1
DB03909	Q12756	1
DB00081	P02746	1
DB02873	Q9NYQ3	0
DB04657	P31040	1
DB00238	P11509	1
DB04272	P15121	1
DB05327	P49327	0
DB00524	Q7L5Y9	0
DB02318	Q16706	1
DB03767	P25774	1
DB01159	P31644	1
DB01189	P31644	1
DB00011	P48551	1
DB07375	P01834	1
DB06795	P55157	0
DB03461	P30043	1
DB07786	P55017	0
DB07274	Q9BW92	0
DB00020	P34741	1
DB06927	P03372	1
DB00967	P11712	1
DB00389	P07202	1
DB00308	Q9Y257	1
DB00726	P07550	1
DB01130	Q9UKY3	0
DB08410	Q9NZV8	0
DB06616	P24941	1
DB03479	P51681	0
DB07623	P51800	0
DB03577	P22413	0
DB08153	P08238	1
DB01429	Q14524	1
DB07154	P05113	0
DB04552	Q16739	0
DB08489	Q14432	0
DB01618	P11229	1
DB00416	P21283	0
DB06842	Q08499	1
DB00358	Q16568	0
DB07379	Q16878	0
DB03093	P08514	0
DB05391	P50391	0
DB00160	Q16719	1
DB03247	Q12882	1
DB00937	P23975	1
DB02272	P13716	1
DB03102	P30838	0
DB00273	P78334	1
DB03501	P16442	1
DB03381	Q96AZ6	0
DB00155	O95865	1
DB07794	P50607	0
DB04207	Q92793	0
DB00130	Q08188	1
DB00043	P12319	1
DB00626	P14920	0
DB04468	P35790	0
DB02371	Q9UQL6	0
DB00755	P24462	1
DB01142	P35367	1
DB04865	P39023	1
DB04003	Q99933	0
DB03759	Q53H96	0
DB01215	O14764	1
DB09078	P08700	0
DB06228	P00742	1
DB02546	P63027	0
DB04827	P19971	0
DB00376	P08912	1
DB01558	P24046	1
DB01236	P05181	1
DB08642	P33681	0
DB07415	Q96KG9	0
DB00073	P23946	0
DB00637	P20815	1
DB00844	P35372	1
DB04620	P51172	0
DB03902	P36544	0
DB00170	P08183	0
DB07814	Q6P093	1
DB00170	P22891	1
DB08675	Q16620	0
DB02728	O00764	0
DB00350	Q9BTZ2	0
DB08807	P13945	1
DB06148	P18825	1
DB00242	Q9NRF9	1
DB02448	P10276	0
DB00097	Q9BW92	0
DB07793	P23368	0
DB00300	P78540	0
DB00589	P10635	1
DB00907	P11229	1
DB01242	P63316	0
DB00278	P08684	1
DB01036	P23946	0
DB00540	P10635	1
DB05471	P12318	0
DB04983	P41231	1
DB03070	P13639	0
DB07642	Q96C86	1
DB02209	P11926	1
DB00850	Q9BW92	0
DB07078	P00915	0
DB04387	P00797	1
DB00523	P05164	0
DB08353	P07998	0
DB00496	P10635	1
DB04180	P00918	1
DB08229	Q14957	0
DB00726	Q9NPA1	0
DB01156	Q01959	1
DB01234	P24462	1
DB04468	Q92731	1
DB07652	O95363	0
DB00130	P22735	1
DB00184	P08684	1
DB06204	P16662	1
DB06073	Q16769	0
DB01472	P21397	1
DB08094	O95045	0
DB05915	O14793	1
DB01118	P42330	0
DB04903	P53609	0
DB03088	P19961	1
DB00071	P05177	1
DB00705	P10632	1
DB09102	P18848	0
DB00898	P30926	1
DB01089	Q05940	1
DB03552	P07101	1
DB00818	P33261	1
DB02459	Q01726	0
DB07954	O60658	1
DB00148	P17540	1
DB06589	Q9UQQ2	1
DB00611	Q9Y2U5	0
DB05303	P14778	1
DB08497	Q9NZV6	0
DB00028	A8MPY1	0
DB01692	P49763	0
DB00157	P03897	1
DB02869	P51970	0
DB01439	P35372	1
DB00151	Q9Y600	1
DB00897	P78334	1
DB00731	P12532	0
DB01403	P35348	1
DB08773	P23458	0
DB05216	P07949	1
DB00763	P54577	0
DB08410	P05452	0
DB02872	Q9Y3I0	0
DB07965	P67775	0
DB00786	O75900	1
DB00114	P20132	1
DB09076	Q9Y257	0
DB08330	P31930	1
DB01177	O95263	0
DB00892	Q01118	0
DB07177	P47895	0
DB08259	P33681	0
DB00235	P27824	0
DB05849	P43403	0
DB06865	P00441	0
DB04764	P42345	0
DB01392	P28335	1
DB07504	O00408	0
DB00048	P02458	1
DB00655	P11712	1
DB08930	Q9BWD1	0
DB04977	Q02928	1
DB05387	P07737	0
DB08691	P49761	1
DB00045	O60603	1
DB07525	P31327	0
DB07020	P07949	0
DB02911	P20273	0
DB00371	Q16445	1
DB09054	P08684	1
DB07930	P51671	0
DB03958	Q9UQM7	0
DB02388	P30825	0
DB02109	P49788	0
DB08654	P51512	0
DB03310	Q9UBN7	0
DB00482	O15530	1
DB01472	P31645	1
DB05260	P01584	1
DB06271	P01137	0
DB00315	Q96DP5	0
DB00448	P43080	0
DB08089	P10275	1
DB00870	P16662	1
DB05212	O00180	0
DB04419	P04118	0
DB08237	Q9UBT6	1
DB00119	Q9BYV1	1
DB01381	P23975	1
DB00097	P16581	0
DB06148	P08908	1
DB05096	P02675	0
DB07474	O00264	0
DB07136	P14061	0
DB00197	P11712	1
DB08003	P08574	0
DB01075	O43526	0
DB01940	P35498	0
DB02326	O95298	0
DB08594	Q9UKM7	0
DB00683	P21462	0
DB03130	P03951	0
DB07366	P00734	1
DB00384	P07098	0
DB00705	P05177	1
DB06403	P35749	0
DB05147	P33151	0
DB01915	P02689	1
DB02633	P09211	1
DB00242	Q8WWL2	0
DB03929	P29508	1
DB02266	P23219	1
DB01939	P45880	0
DB02431	Q16552	0
DB01392	P35462	1
DB08396	P26358	0
DB00078	Q8TCT1	0
DB04754	P13674	0
DB01041	P11712	1
DB06898	O43526	0
DB08187	P43005	0
DB01023	P10632	1
DB00950	P10635	1
DB03894	O95169	0
DB01942	P09601	1
DB01138	P08684	1
DB00774	O43570	1
DB00940	P25021	1
DB00201	P27815	1
DB00703	Q96C86	0
DB07340	P49368	0
DB01544	P35503	1
DB00547	Q8IYQ7	0
DB00268	P08913	1
DB08385	Q13526	0
DB00199	P05177	1
DB07314	O14757	1
DB01684	Q9H2P9	0
DB04622	Q16769	1
DB01280	P00813	1
DB01135	P06276	1
DB01107	P47869	1
DB00675	P41743	1
DB00436	Q9NZD2	0
DB00575	P05177	1
DB00081	P08637	1
DB07486	P00748	0
DB03297	P08473	0
DB05111	P01595	0
DB00243	P48736	0
DB00404	P28472	1
DB06958	Q8IU85	0
DB00110	P31994	1
DB01950	Q16740	0
DB00543	P47870	1
DB03175	Q01362	0
DB00339	P08684	1
DB08230	Q04759	0
DB06694	Q16558	0
DB08192	P12931	1
DB01969	O75390	1
DB05223	Q92769	1
DB09068	P20813	1
DB03147	P15559	1
DB02774	P00167	0
DB00285	P08684	1
DB01047	P04150	1
DB01218	Q13131	0
DB01394	Q01718	0
DB00420	P33261	1
DB00540	P34903	0
DB02360	P01375	0
DB06928	Q04609	1
DB01708	O15399	1
DB00252	P34059	0
DB05875	Q96AZ6	0
DB01069	P35348	1
DB07448	P28838	1
DB00696	P35368	1
DB04216	P11309	1
DB02774	P84077	1
DB08143	Q9H239	0
DB01953	Q16539	1
DB02535	O95363	0
DB00501	P11802	0
DB00465	P23219	1
DB04956	P23677	0
DB00599	P43681	1
DB00909	Q9Y2D0	1
DB01424	P05093	1
DB05037	P24941	1
DB02508	P03956	0
DB07376	P00734	1
DB02261	P00439	0
DB08465	P14625	1
DB02652	P35080	0
DB00709	P15531	1
DB00349	P20813	1
DB00343	P08684	1
DB00142	Q13255	1
DB02052	P49841	1
DB00978	P05177	1
DB00033	P15260	1
DB01267	P28223	1
DB01104	P05177	1
DB09036	P05231	1
DB00975	P00813	1
DB05201	P23469	0
DB00605	P15121	1
DB00548	P11226	0
DB03556	P25963	0
DB01032	P50579	0
DB04426	Q8TF76	0
DB00755	P20813	1
DB03907	P21964	1
DB01050	P35503	1
DB00454	O00748	0
DB00543	P46098	1
DB03088	P0CG04	1
DB07286	O14594	0
DB01185	P04150	1
DB03944	P37231	0
DB07393	P04070	0
DB00397	P21397	1
DB00564	P20813	1
DB01069	Q13621	0
DB08500	Q06187	0
DB00142	P39086	1
DB00071	P06400	1
DB05210	P42345	1
DB01375	Q9NPA1	0
DB06833	Q99062	0
DB01028	P14867	1
DB02152	P35557	0
DB05364	P26640	0
DB00444	P20815	1
DB06708	Q15046	0
DB05155	Q9UHW9	0
DB00654	Q13443	0
DB07237	P09960	1
DB00904	Q9BVG9	0
DB00515	P20813	1
DB05916	P22061	0
DB09083	Q96QU6	0
DB05764	P10415	1
DB08515	P25786	1
DB07912	P05106	0
DB00973	P22309	1
DB00774	Q13621	1
DB01012	P05177	1
DB01723	P30532	0
DB03428	Q07699	0
DB00492	P02792	0
DB03046	P00749	1
DB06655	Q8N159	0
DB04988	P00533	1
DB03349	Q07343	1
DB00920	Q08499	1
DB00800	P25100	1
DB05029	P47712	1
DB07587	P16473	0
DB05018	Q99714	0
DB08123	P24941	1
DB08740	O43676	0
DB05203	P49915	0
DB07940	Q16774	0
DB03081	Q9Y296	0
DB02665	Q03013	0
DB00812	P00749	0
DB07046	Q02750	1
DB06991	O43613	0
DB00372	P21728	1
DB00832	P33261	1
DB02860	P01303	0
DB08814	Q9Y233	1
DB06228	P51589	1
DB00540	P35368	1
DB01242	P28223	1
DB06813	Q05932	1
DB06626	P22309	1
DB02249	P53355	0
DB02047	P23219	1
DB08814	Q15761	0
DB00072	P00736	1
DB00184	P11511	1
DB01259	P33261	1
DB00813	P41143	1
DB02183	P52209	0
DB04574	P03372	1
DB05458	O14732	0
DB02057	P42262	1
DB05804	P04637	0
DB08208	P33151	0
DB01130	P06756	0
DB00693	Q8IWT1	0
DB03598	P00918	1
DB00285	P11712	1
DB08822	P30556	1
DB00582	P31513	1
DB01093	O60547	0
DB00586	O43526	1
DB00252	P24462	1
DB07379	Q00534	1
DB01576	Q9UI33	0
DB08236	P59998	1
DB06439	P08100	0
DB00199	Q12809	1
DB01435	P08684	1
DB08594	P49588	0
DB07879	Q13231	0
DB05147	P04350	1
DB03185	P48029	0
DB01285	P02743	0
DB04514	P07998	1
DB03903	Q9NR33	0
DB05018	P40939	0
DB01205	P47869	1
DB01696	P06737	1
DB04256	P41743	0
DB00898	P42263	1
DB03487	O00204	0
DB04417	P49588	0
DB02491	O95237	0
DB06884	P11712	0
DB01708	P14061	1
DB08781	Q13183	0
DB04117	P30084	1
DB11362	P43119	1
DB00667	P45844	0
DB07573	P56817	1
DB04126	P00491	0
DB06833	P11474	1
DB02644	P29475	1
DB02690	P09874	1
DB07676	P35914	0
DB00958	P15559	1
DB00751	P08684	1
DB07423	Q8WTS6	0
DB07486	P37058	0
DB04147	P08100	1
DB03703	P09238	0
DB08340	P68400	1
DB01118	O00329	0
DB08236	O15511	1
DB05062	P46721	0
DB08043	P00519	1
DB01261	P23467	0
DB05284	P51788	0
DB02258	Q9P2W7	0
DB03449	P48065	0
DB03439	P62993	0
DB08756	P18283	0
DB00617	P10632	1
DB00387	P55769	0
DB00408	P28221	1
DB04369	P07919	0
DB06707	P32322	0
DB02624	O95363	0
DB01336	P36871	0
DB08262	P69905	1
DB05374	P55011	0
DB00123	O43246	1
DB00580	O94760	0
DB00580	P33261	1
DB08056	Q13003	0
DB07187	Q99720	0
DB01059	P01584	0
DB02250	P61626	1
DB08024	O14949	0
DB00024	P16473	1
DB02068	P50440	1
DB08901	P20815	1
DB01036	P10635	1
DB00187	O60840	0
DB02255	P08684	0
DB00174	Q14500	0
DB08139	P48048	0
DB00528	P08684	1
DB00157	P20839	1
DB04938	P49888	0
DB05256	P02585	0
DB00777	P35367	1
DB08996	P22303	1
DB04946	P08908	1
DB01159	P10635	1
DB02900	P11717	1
DB00579	P23921	0
DB00894	Q7Z2W7	0
DB03384	P10415	0
DB00667	P05129	0
DB05418	Q9H2X9	0
DB04010	P48728	0
DB00458	Q12809	1
DB01190	P48448	0
DB00734	Q16620	0
DB00420	P21728	1
DB07376	P08709	1
DB00829	P33260	1
DB03286	P31350	0
DB00130	O15067	1
DB00015	P05121	1
DB00778	P01008	0
DB07162	O60674	1
DB00749	P19793	1
DB00157	Q08426	1
DB09101	Q16877	0
DB00651	Q08499	1
DB01225	P05164	1
DB07396	P48547	0
DB00934	P20309	1
DB07978	O00459	0
DB00098	P06126	1
DB00237	P31644	1
DB03092	P11216	0
DB05423	P04150	1
DB00367	P06401	1
DB05007	Q00975	0
DB02131	P00326	1
DB04534	P09693	0
DB01261	P14679	0
DB03541	Q14721	0
DB04574	P11712	1
DB06844	P20248	1
DB01122	P56282	0
DB06825	P21926	0
DB08273	P04211	1
DB03867	P04181	0
DB03555	Q9Y5R8	0
DB04395	P23677	1
DB00091	P10632	1
DB04315	P51151	1
DB01167	P20813	1
DB03626	P15559	1
DB01159	P59768	1
DB07592	P06239	0
DB01339	P04083	0
DB01118	P08588	1
DB00471	P09917	1
DB06103	Q15031	0
DB07512	P28472	0
DB03006	P16499	0
DB01221	P10632	1
DB00558	P51800	0
DB00244	P08912	0
DB00186	P47870	1
DB00157	Q13630	1
DB07744	Q9H3S4	0
DB07069	Q9H4Y5	0
DB08846	P48060	0
DB07163	Q70Z44	0
DB01269	P12931	0
DB00128	P45381	1
DB00509	P10828	1
DB04551	P07339	0
DB08786	Q16566	0
DB08775	O60894	0
DB05039	P08684	1
DB08756	P61925	1
DB06901	P51606	0
DB06714	Q05940	1
DB01025	P80511	1
DB01565	P26951	0
DB00786	P51511	1
DB08424	P02675	0
DB01764	P51692	0
DB08234	Q8TDV5	0
DB00763	Q8N119	0
DB00390	P14927	0
DB09272	O95749	0
DB04612	P50440	0
DB06726	P25786	0
DB07385	P17342	0
DB03984	O95045	0
DB07749	P24310	0
DB08815	P18825	1
DB00876	P30556	1
DB00764	Q9HAN9	0
DB01496	P36544	1
DB06987	Q12797	0
DB03298	Q9NRE1	0
DB01029	P23219	1
DB01184	P20701	0
DB00672	O60669	0
DB09052	P15391	1
DB08929	P25311	0
DB04417	Q9UGN5	0
DB00794	P28472	1
DB00231	Q99928	1
DB00837	Q9UBS5	1
DB06089	Q9NR82	1
DB00116	O43612	0
DB00691	P35503	0
DB04879	P55769	0
DB00773	P10632	1
DB00157	Q99714	1
DB04967	P01308	0
DB00237	P42262	1
DB03510	Q8N142	1
DB02942	Q14626	0
DB09143	Q9H4M7	0
DB02379	Q701N4	1
DB00974	P00813	1
DB04204	P43026	0
DB07237	Q8IYQ7	0
DB00171	Q9NR19	1
DB01306	Q8IVH4	0
DB04915	P39086	0
DB08846	Q9ULX7	1
DB02659	P20674	1
DB05147	P68371	1
DB03504	Q9NQX3	0
DB07907	Q07001	0
DB03541	P0CG22	1
DB00134	P56192	1
DB03149	P23946	1
DB00925	P62158	1
DB08916	P00533	1
DB08157	P00918	1
DB01595	P31644	1
DB04818	P05106	0
DB00241	Q9HB55	0
DB01223	P05177	1
DB02735	P30085	0
DB02610	Q15102	0
DB00587	Q9Y271	1
DB01946	O15530	1
DB07394	P11233	0
DB07909	P01834	1
DB07431	P78540	0
DB01381	P18507	1
DB04922	P54289	1
DB03223	P13639	1
DB00552	Q9H6Z9	0
DB06757	P50135	0
DB03512	Q9Y5R2	0
DB08083	P00918	1
DB08482	P06132	0
DB00144	Q9BVG9	1
DB01589	P28476	1
DB00794	Q13002	1
DB01167	P25100	0
DB00363	P04275	0
DB00016	Q01064	0
DB02568	Q16696	0
DB00922	P62330	0
DB02466	P13631	1
DB01336	P21549	0
DB01583	P10632	1
DB00753	P20813	1
DB08149	P17612	1
DB04301	Q9H853	0
DB05046	P41145	1
DB05374	P00533	1
DB04237	O94808	0
DB07859	P61925	1
DB07873	O95749	1
DB00087	P02747	1
DB00378	P21283	0
DB00434	P20309	1
DB01685	P47989	1
DB05801	Q96IY4	0
DB07173	P51149	0
DB03501	Q14376	1
DB01028	P31644	1
DB03292	P78330	1
DB06738	Q9Y663	0
DB01341	P14867	1
DB08813	P01100	1
DB08183	P23458	1
DB00099	P08246	1
DB00418	P34903	1
DB08186	P56696	0
DB01756	Q9UNX3	0
DB05359	P51800	0
DB05122	P26439	0
DB07435	P51003	0
DB00768	Q99584	1
DB08462	Q8WVQ1	0
DB08482	P10176	0
DB00938	P35557	0
DB02714	Q8IVL5	0
DB04071	Q99707	0
DB06441	Q9H244	1
DB07206	P30837	0
DB05252	P06276	0
DB04970	P08908	1
DB00813	P08684	1
DB05774	Q05940	0
DB02045	P35749	0
DB06623	Q9Y6F1	0
DB05157	O15264	1
DB01089	P23109	0
DB04783	Q6NXR0	0
DB04071	P15382	0
DB00312	O00764	0
DB01341	P11766	0
DB01238	P28566	1
DB06829	P80511	0
DB01122	P30613	0
DB00219	P11229	1
DB01075	P33261	1
DB03598	P51160	0
DB08030	P00338	0
DB00020	Q9H244	0
DB00887	Q9BXJ7	0
DB07854	Q96AE4	0
DB00367	P33261	0
DB01203	Q9H169	0
DB01142	P11229	1
DB00774	P18505	0
DB07659	P59998	0
DB01268	Q99460	0
DB00361	P07437	1
DB07604	P31644	0
DB05342	P45984	0
DB00126	Q9GZT9	1
DB06094	P04792	1
DB01095	P05177	1
DB06840	Q13547	0
DB07946	P15502	0
DB06708	Q8NBQ5	0
DB00190	P37059	0
DB01095	P04035	1
DB06728	P05181	1
DB04424	P07477	1
DB01210	P11712	0
DB05234	P41231	0
DB01750	P21589	0
DB00072	P09871	1
DB00530	P05177	1
DB05147	P68363	1
DB07325	P07900	1
DB07107	Q9NWZ5	0
DB00458	P05181	1
DB07901	P45984	0
DB00363	P28223	1
DB00513	Q06278	1
DB00201	P54750	1
DB05324	P35790	0
DB01135	P08172	1
DB00726	P21728	1
DB04683	Q13285	1
DB01745	Q96GW9	0
DB02498	P09874	1
DB01221	P14416	1
DB07239	Q10588	0
DB00292	O00591	1
DB01124	P48048	1
DB00114	Q6WRI0	1
DB03865	P07477	1
DB01071	P10635	1
DB00188	P20618	1
DB00471	Q9Y271	1
DB00849	Q16445	1
DB04253	P30041	0
DB00778	P08684	1
DB08291	P12235	0
DB07636	Q9UDW1	1
DB09303	Q8NBP7	1
DB01189	Q9UN88	1
DB00158	P05181	1
DB08172	Q9NPH2	0
DB03496	P50613	1
DB07513	Q14541	0
DB05122	P13612	1
DB03583	Q9BXA5	0
DB04117	P11226	0
DB04551	P30613	1
DB00142	P80404	1
DB04066	P78334	0
DB08323	P01857	0
DB00228	P78334	1
DB00514	P24462	1
DB00633	P05556	0
DB02589	P00374	0
DB00818	O00591	1
DB00731	P20594	0
DB00636	Q07869	1
DB00650	P20823	0
DB04473	Q96C86	0
DB04617	P22303	1
DB00497	P10635	1
DB09068	P10635	1
DB03478	Q9NXA8	1
DB07175	P51178	0
DB08439	P02788	1
DB08624	P03372	0
DB03354	P31994	0
DB00246	P04229	0
DB07742	P55809	0
DB07101	P63316	0
DB05492	P48029	0
DB07446	P36959	0
DB00148	O14874	0
DB01927	P50406	0
DB07700	P63000	0
DB03773	Q13255	0
DB01090	Q9GZZ6	1
DB04008	Q02221	0
DB04195	P05164	0
DB01699	O14757	0
DB01120	P33261	1
DB01615	P45381	0
DB02420	P18031	1
DB05223	O15379	1
DB01128	Q9HCR9	0
DB00193	P20309	1
DB00958	P05164	1
DB06335	P48775	0
DB01176	P29474	0
DB03175	P20645	0
DB00013	P00747	1
DB08399	O60760	0
DB00773	P20815	1
DB01353	P02649	0
DB01045	Q16850	1
DB02730	Q15046	0
DB04141	P00156	1
DB03010	Q9NY65	1
DB00847	P61278	1
DB01643	Q9HD40	0
DB00711	P17181	0
DB00991	P14207	0
DB01282	P54646	0
DB06954	P21266	0
DB00925	P18089	1
DB03773	Q460N3	0
DB04896	Q14957	1
DB08888	P01023	1
DB00324	Q8N1Q1	0
DB00213	P20648	1
DB00157	P51659	1
DB02515	P03901	0
DB04899	P61278	0
DB01198	P47869	1
DB00399	P14324	1
DB04476	P80188	1
DB01186	P35348	1
DB08219	P08912	0
DB03928	P22570	0
DB00193	P40926	0
DB00568	P21918	1
DB01356	P29218	1
DB01115	P05181	1
DB01006	P08684	1
DB01373	P49747	1
DB00143	O15217	1
DB05050	P41143	1
DB08632	P69905	1
DB09207	O75874	0
DB07525	P11362	1
DB00987	O15511	0
DB07141	Q9BVA1	0
DB03703	P00325	1
DB07645	P69905	1
DB00692	P08913	1
DB00197	O60656	1
DB06042	Q13509	1
DB01597	Q15166	0
DB02568	P00491	1
DB00074	P31994	1
DB04929	P51512	0
DB08054	P62937	0
DB00768	A5X5Y0	0
DB00656	P35367	1
DB07080	Q15788	1
DB00807	O95932	0
DB01892	P30043	0
DB03747	O60493	0
DB08837	O76082	0
DB00590	P33261	1
DB04126	P09668	1
DB07198	O14965	0
DB08060	Q03431	0
DB00857	Q9Y697	0
DB00962	P14867	1
DB00292	P18507	1
DB01497	P01189	1
DB00604	Q13639	1
DB08888	P08697	1
DB05111	P21399	0
DB05895	Q9Y5Y6	0
DB00129	Q8WY07	1
DB05366	Q08493	0
DB03967	Q9UQQ2	0
DB08690	Q9UDW1	1
DB04522	P17612	1
DB00508	P14416	1
DB08633	P50579	1
DB03559	Q5T601	0
DB06710	P10275	1
DB03643	P07477	1
DB07950	P46976	0
DB02509	P27338	1
DB08890	Q9Y2Q0	0
DB03896	Q9Y5Y6	0
DB05030	P31939	0
DB01222	P08684	1
DB01403	O00142	0
DB01214	Q13200	0
DB00928	P34059	0
DB05234	P10275	1
DB01752	O95342	0
DB02067	P34896	1
DB00603	P08684	1
DB06650	Q9BW91	0
DB00640	P29274	1
DB08436	P17812	0
DB07107	Q16698	0
DB08477	Q15661	0
DB01666	P41250	0
DB01236	P49916	0
DB00439	P08684	1
DB01370	P05023	1
DB05034	Q9UNX3	0
DB03738	Q96CD2	1
DB05469	P25100	1
DB01236	P48169	1
DB04872	P29371	1
DB00306	P34903	1
DB07567	Q9NPC2	0
DB03306	P12821	0
DB07179	O43497	0
DB04677	P13686	0
DB00197	Q02224	0
DB08289	P35398	0
DB03499	P23368	1
DB00458	P10632	0
DB01013	P05177	1
DB07766	O00142	0
DB01246	Q9NZK7	0
DB01890	P05019	1
DB02587	P36507	0
DB08875	Q13363	0
DB05420	P49789	0
DB04068	P40261	0
DB05882	P03372	1
DB00457	Q9H252	1
DB00701	P08684	1
DB08613	P04141	0
DB02072	Q16775	0
DB07089	P04083	0
DB01497	Q13183	0
DB00439	P24462	1
DB01992	P04035	1
DB00146	Q07973	1
DB01132	P10635	1
DB07651	P68133	0
DB00242	Q9NR33	1
DB08896	P42685	1
DB00559	P11712	1
DB00081	O94956	0
DB00696	P14416	1
DB04464	Q92696	1
DB02348	Q96C24	0
DB04297	Q8WUI4	1
DB00083	O15144	0
DB07456	Q14416	0
DB04083	P11217	1
DB06852	Q9UDR5	0
DB02169	Q14654	0
DB01452	Q70Z44	0
DB02004	O14561	0
DB04006	P09417	0
DB05829	P46059	0
DB00741	Q16831	0
DB08441	P41091	0
DB00898	Q06432	1
DB02054	Q9NS18	0
DB08466	P09960	1
DB00651	P27815	1
DB00726	P08913	1
DB02098	P10826	0
DB00418	P54278	0
DB05260	P29474	0
DB00816	P07550	1
DB05125	Q8N8R3	0
DB00208	P04798	1
DB04961	P50579	0
DB08004	P57059	0
DB09033	P26010	1
DB01014	Q9UQF2	0
DB03744	P35626	0
DB04933	Q8NG66	0
DB07401	Q9UDW1	1
DB05655	Q9P0X4	0
DB08323	P61457	0
DB04448	P48728	0
DB07521	P35462	0
DB00102	P01023	1
DB08918	P51606	0
DB00981	O15530	0
DB06828	P06744	0
DB08173	O94925	0
DB01285	P09211	0
DB01128	P10635	1
DB01096	P10635	1
DB02929	P08758	1
DB00690	P11509	1
DB04599	P42262	1
DB03133	Q9UKQ2	0
DB08750	P08100	0
DB03349	P00374	0
DB00317	P00533	1
DB00321	P28222	1
DB04940	P10415	1
DB00153	O15528	1
DB06720	P04062	1
DB00615	O00217	0
DB04721	P18085	0
DB01029	P10635	1
DB07415	P42574	0
DB01149	Q01959	1
DB06089	Q13564	0
DB08454	P29508	0
DB04480	P35408	0
DB01008	Q99735	1
DB08439	P09466	0
DB02351	P43005	0
DB05034	Q8TD30	0
DB01708	P48169	1
DB01118	Q12809	1
DB03962	P49888	0
DB01889	Q14994	1
DB01221	P08172	1
DB07638	Q92731	1
DB01544	P20813	1
DB01124	P35348	0
